path,currentWidth,currentHeight,currentBytes,currentType,originalMatch,originalPath,originalWidth,originalHeight,originalBytes,originalType,sameBytes,better,improvementRatio,lowForHero,usedByTourImageRefs,usedFields
images/tour-photos/Zambia/03/01.webp,1024,444,87840,JPEG,false,,0,0,0,,false,false,0,true,7,image1|image2|image3|image4|image5|image6|mainPhoto
images/tour-photos/Zambia/03/02.webp,1024,444,115576,JPEG,false,,0,0,0,,false,false,0,true,7,image1|image2|image3|image4|image5|image6|mainPhoto
images/tour-photos/Zambia/03/03.webp,1024,444,83302,JPEG,false,,0,0,0,,false,false,0,true,7,image1|image2|image3|image4|image5|image6|mainPhoto
images/tour-photos/Zambia/03/04.webp,1024,444,142291,JPEG,false,,0,0,0,,false,false,0,true,7,image1|image2|image3|image4|image5|image6|mainPhoto
images/tour-photos/Zambia/03/05.webp,1024,444,74117,JPEG,false,,0,0,0,,false,false,0,true,7,image1|image2|image3|image4|image5|image6|mainPhoto
images/tour-photos/Zambia/03/06.webp,1024,444,72762,JPEG,false,,0,0,0,,false,false,0,true,7,image1|image2|image3|image4|image5|image6|mainPhoto
images/tour-photos/Zambia/04/01.webp,1024,444,64354,JPEG,false,,0,0,0,,false,false,0,true,7,image1|image2|image3|image4|image5|image6|mainPhoto
images/tour-photos/Zambia/04/02.webp,1024,444,88358,JPEG,false,,0,0,0,,false,false,0,true,7,image1|image2|image3|image4|image5|image6|mainPhoto
images/tour-photos/Zambia/04/03.webp,1024,444,96765,JPEG,false,,0,0,0,,false,false,0,true,7,image1|image2|image3|image4|image5|image6|mainPhoto
images/tour-photos/Zambia/04/04.webp,1024,444,45174,JPEG,false,,0,0,0,,false,false,0,true,7,image1|image2|image3|image4|image5|image6|mainPhoto
images/tour-photos/Zambia/04/05.webp,1024,444,71822,JPEG,false,,0,0,0,,false,false,0,true,7,image1|image2|image3|image4|image5|image6|mainPhoto
images/tour-photos/Zambia/04/06.webp,1024,444,81672,JPEG,false,,0,0,0,,false,false,0,true,7,image1|image2|image3|image4|image5|image6|mainPhoto
images/tour-photos/Zambia/05/01.webp,1024,444,106919,JPEG,false,,0,0,0,,false,false,0,true,7,image1|image2|image3|image4|image5|image6|mainPhoto
images/tour-photos/Zambia/05/02.webp,1024,444,68829,JPEG,false,,0,0,0,,false,false,0,true,7,image1|image2|image3|image4|image5|image6|mainPhoto
images/tour-photos/Western Sahara/01/01.webp,1024,444,87975,JPEG,false,,0,0,0,,false,false,0,true,2,image1|mainPhoto
images/tour-photos/Western Sahara/01/02.webp,1024,444,83091,JPEG,false,,0,0,0,,false,false,0,true,3,image1|image2|mainPhoto
images/tour-photos/Western Sahara/01/03.webp,1024,444,57711,JPEG,false,,0,0,0,,false,false,0,true,2,image2|image3
images/tour-photos/Western Sahara/01/04.webp,1024,444,80899,JPEG,false,,0,0,0,,false,false,0,true,2,image3|image4
images/tour-photos/Western Sahara/01/05.webp,1024,444,79839,JPEG,false,,0,0,0,,false,false,0,true,4,image1|image4|image5|mainPhoto
images/tour-photos/Western Sahara/01/06.webp,1024,444,60356,JPEG,false,,0,0,0,,false,false,0,true,4,image1|image5|image6|mainPhoto
images/tour-photos/Venezuela/01/01.webp,1024,444,60573,JPEG,false,,0,0,0,,false,false,0,true,2,image1|mainPhoto
images/tour-photos/Venezuela/01/02.webp,1024,444,35474,JPEG,false,,0,0,0,,false,false,0,true,3,image1|image2|mainPhoto
images/tour-photos/Venezuela/01/03.webp,1024,444,75818,JPEG,false,,0,0,0,,false,false,0,true,4,image1|image2|image3|mainPhoto
images/tour-photos/Venezuela/01/04.webp,1024,444,104739,JPEG,false,,0,0,0,,false,false,0,true,5,image1|image2|image3|image4|mainPhoto
images/tour-photos/Venezuela/01/05.webp,1024,444,93863,JPEG,false,,0,0,0,,false,false,0,true,4,image2|image3|image4|image5
images/tour-photos/Venezuela/01/06.webp,1024,444,53485,JPEG,false,,0,0,0,,false,false,0,true,4,image3|image4|image5|image6
images/tour-photos/India/01/02.webp,2235,931,209078,WEBP,true,../../villavillage/siempre-frontend/siempretour/images/tour-photos/India/01/02.webp,2235,931,209078,WEBP,true,false,1,false,403,image1|image2|mainPhoto
images/tour-photos/India/01/03.webp,2235,930,204908,WEBP,true,../../villavillage/siempre-frontend/siempretour/images/tour-photos/India/01/03.webp,2235,930,204908,WEBP,true,false,1,false,404,image1|image2|image3|mainPhoto
images/tour-photos/India/01/04.webp,2235,931,283462,WEBP,true,../../villavillage/siempre-frontend/siempretour/images/tour-photos/India/01/04.webp,2235,931,283462,WEBP,true,false,1,false,405,image1|image2|image3|image4|mainPhoto
images/tour-photos/India/01/05.webp,2235,931,123100,WEBP,true,../../villavillage/siempre-frontend/siempretour/images/tour-photos/India/01/05.webp,2235,931,123100,WEBP,true,false,1,false,406,image1|image2|image3|image4|image5|mainPhoto
images/tour-photos/India/01/06.webp,2235,931,286348,WEBP,true,../../villavillage/siempre-frontend/siempretour/images/tour-photos/India/01/06.webp,2235,931,286348,WEBP,true,false,1,false,407,image1|image2|image3|image4|image5|image6|mainPhoto
images/tour-photos/Uganda/01/01.webp,1024,444,90410,JPEG,false,,0,0,0,,false,false,0,true,2,image1|mainPhoto
images/tour-photos/Uganda/01/02.webp,1024,444,99963,JPEG,false,,0,0,0,,false,false,0,true,3,image1|image2|mainPhoto
images/tour-photos/Uganda/01/03.webp,1024,444,103131,JPEG,false,,0,0,0,,false,false,0,true,4,image1|image2|image3|mainPhoto
images/tour-photos/Uganda/01/04.webp,1024,444,97003,JPEG,false,,0,0,0,,false,false,0,true,5,image1|image2|image3|image4|mainPhoto
images/tour-photos/Uganda/01/05.webp,1024,444,107361,JPEG,false,,0,0,0,,false,false,0,true,6,image1|image2|image3|image4|image5|mainPhoto
images/tour-photos/Uganda/01/06.webp,1024,444,108183,JPEG,false,,0,0,0,,false,false,0,true,7,image1|image2|image3|image4|image5|image6|mainPhoto
images/tour-photos/Uganda/02/01.webp,1024,444,99137,JPEG,false,,0,0,0,,false,false,0,true,7,image1|image2|image3|image4|image5|image6|mainPhoto
images/tour-photos/Uganda/02/02.webp,1024,444,94873,JPEG,false,,0,0,0,,false,false,0,true,7,image1|image2|image3|image4|image5|image6|mainPhoto
images/tour-photos/Uganda/02/03.webp,1024,444,87148,JPEG,false,,0,0,0,,false,false,0,true,7,image1|image2|image3|image4|image5|image6|mainPhoto
images/tour-photos/Uganda/02/04.webp,1024,444,94138,JPEG,false,,0,0,0,,false,false,0,true,7,image1|image2|image3|image4|image5|image6|mainPhoto
images/tour-photos/Uganda/02/05.webp,1024,444,108838,JPEG,false,,0,0,0,,false,false,0,true,7,image1|image2|image3|image4|image5|image6|mainPhoto
images/tour-photos/Uganda/02/06.webp,1024,444,84271,JPEG,false,,0,0,0,,false,false,0,true,7,image1|image2|image3|image4|image5|image6|mainPhoto
images/tour-photos/Uganda/03/01.webp,1024,444,108230,JPEG,false,,0,0,0,,false,false,0,true,7,image1|image2|image3|image4|image5|image6|mainPhoto
images/tour-photos/Uganda/03/02.webp,1024,444,99766,JPEG,false,,0,0,0,,false,false,0,true,7,image1|image2|image3|image4|image5|image6|mainPhoto
images/tour-photos/Uganda/03/03.webp,1024,444,112303,JPEG,false,,0,0,0,,false,false,0,true,7,image1|image2|image3|image4|image5|image6|mainPhoto
images/tour-photos/Uganda/03/04.webp,1024,444,75553,JPEG,false,,0,0,0,,false,false,0,true,7,image1|image2|image3|image4|image5|image6|mainPhoto
images/tour-photos/Uganda/03/05.webp,1024,444,109138,JPEG,false,,0,0,0,,false,false,0,true,7,image1|image2|image3|image4|image5|image6|mainPhoto
images/tour-photos/Uganda/03/06.webp,1024,444,102390,JPEG,false,,0,0,0,,false,false,0,true,7,image1|image2|image3|image4|image5|image6|mainPhoto
images/tour-photos/Uganda/04/01.webp,1024,444,110315,JPEG,false,,0,0,0,,false,false,0,true,7,image1|image2|image3|image4|image5|image6|mainPhoto
images/tour-photos/Uganda/04/02.webp,1024,444,75432,JPEG,false,,0,0,0,,false,false,0,true,7,image1|image2|image3|image4|image5|image6|mainPhoto
images/tour-photos/Uganda/04/03.webp,1024,444,112378,JPEG,false,,0,0,0,,false,false,0,true,7,image1|image2|image3|image4|image5|image6|mainPhoto
images/tour-photos/Uganda/04/04.webp,1024,444,86180,JPEG,false,,0,0,0,,false,false,0,true,7,image1|image2|image3|image4|image5|image6|mainPhoto
images/tour-photos/Uganda/04/05.webp,1024,444,80341,JPEG,false,,0,0,0,,false,false,0,true,7,image1|image2|image3|image4|image5|image6|mainPhoto
images/tour-photos/Uganda/04/06.webp,1024,444,63783,JPEG,false,,0,0,0,,false,false,0,true,7,image1|image2|image3|image4|image5|image6|mainPhoto
images/tour-photos/Uganda/05/01.webp,1024,444,99956,JPEG,false,,0,0,0,,false,false,0,true,7,image1|image2|image3|image4|image5|image6|mainPhoto
images/tour-photos/Uganda/05/02.webp,1024,444,87148,JPEG,false,,0,0,0,,false,false,0,true,7,image1|image2|image3|image4|image5|image6|mainPhoto
images/tour-photos/Uganda/05/03.webp,1024,444,58179,JPEG,false,,0,0,0,,false,false,0,true,7,image1|image2|image3|image4|image5|image6|mainPhoto
images/tour-photos/Uganda/05/04.webp,1024,444,73572,JPEG,false,,0,0,0,,false,false,0,true,7,image1|image2|image3|image4|image5|image6|mainPhoto
images/tour-photos/Uganda/05/05.webp,1024,444,88617,JPEG,false,,0,0,0,,false,false,0,true,7,image1|image2|image3|image4|image5|image6|mainPhoto
images/tour-photos/Uganda/05/06.webp,1024,444,83084,JPEG,false,,0,0,0,,false,false,0,true,7,image1|image2|image3|image4|image5|image6|mainPhoto
images/tour-photos/Uganda/06/01.webp,1024,444,73062,JPEG,false,,0,0,0,,false,false,0,true,7,image1|image2|image3|image4|image5|image6|mainPhoto
images/tour-photos/Uganda/06/02.webp,1024,444,103688,JPEG,false,,0,0,0,,false,false,0,true,7,image1|image2|image3|image4|image5|image6|mainPhoto
images/tour-photos/Uganda/06/03.webp,1024,444,130578,JPEG,false,,0,0,0,,false,false,0,true,7,image1|image2|image3|image4|image5|image6|mainPhoto
images/tour-photos/Uganda/06/04.webp,1024,444,93412,JPEG,false,,0,0,0,,false,false,0,true,7,image1|image2|image3|image4|image5|image6|mainPhoto
images/tour-photos/Uganda/06/05.webp,1024,444,68672,JPEG,false,,0,0,0,,false,false,0,true,7,image1|image2|image3|image4|image5|image6|mainPhoto
images/tour-photos/Uganda/06/06.webp,1024,444,64678,JPEG,false,,0,0,0,,false,false,0,true,7,image1|image2|image3|image4|image5|image6|mainPhoto
images/tour-photos/Uganda/07/01.webp,1024,444,69661,JPEG,false,,0,0,0,,false,false,0,true,7,image1|image2|image3|image4|image5|image6|mainPhoto
images/tour-photos/Uganda/07/02.webp,1024,444,108407,JPEG,false,,0,0,0,,false,false,0,true,7,image1|image2|image3|image4|image5|image6|mainPhoto
images/tour-photos/Uganda/07/03.webp,1024,444,120420,JPEG,false,,0,0,0,,false,false,0,true,7,image1|image2|image3|image4|image5|image6|mainPhoto
images/tour-photos/Uganda/07/04.webp,1024,444,103155,JPEG,false,,0,0,0,,false,false,0,true,7,image1|image2|image3|image4|image5|image6|mainPhoto
images/tour-photos/Uganda/07/05.webp,1024,444,98229,JPEG,false,,0,0,0,,false,false,0,true,7,image1|image2|image3|image4|image5|image6|mainPhoto
images/tour-photos/Uganda/07/06.webp,1024,444,102148,JPEG,false,,0,0,0,,false,false,0,true,7,image1|image2|image3|image4|image5|image6|mainPhoto
images/tour-photos/Uganda/02-Africa/01/01.webp,1024,444,90410,JPEG,false,,0,0,0,,false,false,0,true,7,image1|image2|image3|image4|image5|image6|mainPhoto
images/tour-photos/Uganda/02-Africa/01/02.webp,1024,444,99963,JPEG,false,,0,0,0,,false,false,0,true,7,image1|image2|image3|image4|image5|image6|mainPhoto
images/tour-photos/Uganda/02-Africa/01/03.webp,1024,444,103131,JPEG,false,,0,0,0,,false,false,0,true,7,image1|image2|image3|image4|image5|image6|mainPhoto
images/tour-photos/Uganda/02-Africa/01/04.webp,1024,444,97003,JPEG,false,,0,0,0,,false,false,0,true,7,image1|image2|image3|image4|image5|image6|mainPhoto
